bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
ai kulit aat,bark used for black magic,tradition
ai tahan aat,leaves used for black magic,tradition
barlaki,brideprice,tradition
bee manas ai tukan,the presents which a man's family gives to the bride's parents at a couple's engagement,tradition
biru,"amulet,protective charm",tradition
bua-malus,"ingredients for chewing betel nut (betel nut,betel pepper and lime)",tradition
don1,"n title. Sir (title of respect before a Christian name,for senior liurai (noblemen) and bishops)",tradition
kakaluk2,"amulet,charm (tiny bag containing items to protect oneself from danger)",tradition
knua,,tradition
koremetan,"ceremony to mark the end of mourning,on the first anniversary of a person's death",tradition
kultura,culture,tradition
kuta,mark the forehead or another body part with betel juice. This is part of a number of ceremonies; e.g. before entering an uma lisan,tradition
lisan,"tradition,custom,customary law",tradition
malus been,betel juice,tradition
mama,chew without swallowing,tradition
maninga,"magic charm to attract the opposite sex,love potion",tradition
pontiana,beautiful young female spirit figure,tradition
samea ulun hitu,seven-headed snake (a legendary evil snake with one body but seven heads),tradition
sina maromak,Chinese fortune-teller,tradition
uma fukun,named clan house,tradition
uma lisan,named clan house and the associated clan,tradition
uma lulik,"named clan house,traditional sacred house",tradition
mekánika,mechanics,"vehicle - other,education - subject"
aeroportu,airport,vehicle - other
alkatraun,"bitumen,tar,asphalt",vehicle - other
ár,air (in tyre/ball),vehicle - other
automátiku,automatic,vehicle - other
bengkel,mechanic's workshop,vehicle - other
bensin,"petrol (BRIT),gasoline,gas (US)",vehicle - other
bronjong,"gabion basket (wire basket filled with rocks,used in road building)",vehicle - other
gás,accelerator,vehicle - other
gazoel,diesel (fuel),vehicle - other
gazolina,"petrol (BRIT),gasoline,gas (US)",vehicle - other
kampu aviasaun,"airport,heliport",vehicle - other
kapaseti,helmet,vehicle - other
kareta para fatin,parking spot,vehicle - other
karta kondusaun,driver's licence,vehicle - other
kombustivel,fuel,vehicle - other
macet,traffic jam,vehicle - other
manuál2,"manual,by hand",vehicle - other
marka,"brand,make",vehicle - other
mout,"sink,bogged,drown",vehicle - other
ofisina,(mechanic's) workshop; (mechanic's) garage,vehicle - other
oli,"lubricating oil,engine oil,motor oil",vehicle - other
pontikais,"port; wharf,dock",vehicle - other
pontu mortu,neutral (gear),vehicle - other
SIM,driver's licence,vehicle - other
solar,diesel (fuel),vehicle - other
terminál,"bus station,terminal",vehicle - other
tiket,ticket (for travel),vehicle - other
transporte,transport,vehicle - other
tránzitu,(vehicle) traffic,vehicle - other
motorista,,vehicle - people
pasajeiru,passenger,vehicle - people
xofér,driver,vehicle - people
manutensaun,maintenance,"vehicle - processes,building - processes"
aselera,accelerate,vehicle - processes
gripa,write-off (of vehicle),vehicle - processes
rodajen,running in (of a new vehicle),vehicle - processes
tatidik,bump around (of car on a rough road),vehicle - processes
trava,brake,vehicle - processes
xoke,"collide into,crash into,have a crash,bump into,have a collision",vehicle - processes
pedál,pedal,"vehicles - parts,music"
kalsu,chock; wedge; bicycle stand,"vehicles - parts,tools - types"
kompresór,compressor,"vehicles - parts,tools - types"
makaku2,(vehicle) jack,"vehicles - parts,tools - types"
tanki,"tank,(petrol) tank,tub (for water)","vehicles - parts,water and sanitation"
antena,"antenna,aerial",vehicles - parts
aseleradór,accelerator,vehicles - parts
bateria,rechargeable battery,vehicles - parts
bateria ulun,battery terminal,vehicles - parts
embreajen,(vehicle) clutch,vehicles - parts
indikadór,indicator,vehicles - parts
janti,rim and spokes (of wheel),vehicles - parts
karburadór,carburettor,vehicles - parts
knalpot,exhaust pipe,vehicles - parts
kopling,(vehicle) clutch,vehicles - parts
lampu sen,indicator (in vehicle),vehicles - parts
mesín,"motor,engine",vehicles - parts
mola,"spring,suspension (of vehicle)",vehicles - parts
mudansa,gear (of vehicle),vehicles - parts
peneu,,vehicles - parts
plat,"number plate,licence plate",vehicles - parts
radiadór,radiator,vehicles - parts
raius,spoke (of wheel),vehicles - parts
roda,"wheel,outer tyre; inner tube (in the context of roda kuak 'flat tyre' and taka roda 'patch a tyre')",vehicles - parts
selín,"(motorbike,bicycle) saddle",vehicles - parts
travaun,brake,vehicles - parts
travaun liman,hand brake,vehicles - parts
tuur fatin,"seat (of a chair),seat (in a vehicle)",vehicles - parts
vela,spark plug,vehicles - parts
vidru oin,windscreen,vehicles - parts
volanti,"steering wheel,handlebars",vehicles - parts
xapa matríkula,"number plate,licence plate",vehicles - parts
angguna,small public-transport truck,vehicles - types
aviaun,"aeroplane,aircraft,plane",vehicles - types
bebek,small motorbike with petrol tank under the seat rather than between the riders' legs,vehicles - types
bis,bus,vehicles - types
bisikleta,"bicycle,bike,pushbike",vehicles - types
buldozer,bulldozer,vehicles - types
elikópteru,helicopter,vehicles - types
eskavatór,excavator,vehicles - types
kamioneta,truck,vehicles - types
kareta,"car,automobile,vehicle,cart,pram",vehicles - types
komboiu,train (vehicle),vehicles - types
mikrolét,minibus,vehicles - types
motór,"motorbike,motorcycle",vehicles - types
motór bebek,small motorbike with petrol tank under the seat rather than between the riders' legs,vehicles - types
motorizada,"motorbike,motorcycle",vehicles - types
ojek,motorcycle used as a taxi,vehicles - types
taksi,"taxi,sedan",vehicles - types
trek,truck,vehicles - types
vespa,scooter,vehicles - types
roo ahi funu,warship,"violence,boats and boating"
oho,"kill (animals,people),murder","violence,death,animals - processes"
atakasaun,"attack; heart attack,faint","violence,health - signs and symptoms"
defende,defend,"violence,law - other"
vítima,victim,"violence,law - people"
kontra,"against; oppose; transgress,disobey,break (laws...),resist","violence,sport"
ameasa,threaten,violence
aponta1,"aim at,take aim at (e.g. with gun,bow and arrow)",violence
arte marsiais,martial arts,violence
asalta,"attack,assault,mug (someone)",violence
asaltu,"attack,assault,mugging,raid",violence
ataka,attack,violence
atake,attack,violence
atentadu,"assassination attempt,attempt on someone's life",violence
basa,"slap (with open hand,particularly on the face)",violence
dezarma,disarm,violence
emboskada,ambush,violence
evakua,evacuate,violence
evakuasaun,evacuation,violence
funu,"war,fight",violence
golpe,civil war (esp. 1975 in Timor),violence
hana,shoot (an arrow),violence
invazaun,invasion,violence
kombate,"combat,fight against (esp. used in contexts such as combatting corruption or disease)",violence
konflitu,conflict,violence
konfrontasaun,confrontation,violence
kudeta,coup d'état,violence
luta,"v. fight,struggle towards a worthy goal,battle (something)",violence
masakre,massacre,violence
perang dunia kedua,"world war two,second world war",violence
perang dunia pertama,"world war one,first world war",violence
primeira gera mundiál,"world war one,first world war",violence
retira,"v. retreat,withdraw",violence
sadik,"provoke,stir up",violence
segunda gera mundiál,"world war two,second world war",violence
soku,"punch upwards,hit hard with the elbow",violence
soran,"incite (to fight),stir up",violence
sori,separate (fighting parties),violence
terorizmu,terrorism,violence
tiru,"shoot (with gun,slingshot),shoot (marbles)",violence
tuda,"pelt,fling,pitch,throw something at (horizontally)",violence
violénsia,violence,violence
vitória,victory,violence
barajen,dam,"water and sanitation,agriculture - other"
kee,"dig,dig up,harvest (root crops)","water and sanitation,building - processes"
tutan,"extend,join shorter pieces to make one long piece","water and sanitation,building - processes"
hariis fatin,bathroom (also polite term for 'toilet'),"water and sanitation,building parts"
kaza de banyu,bathroom (also polite term for 'toilet'),"water and sanitation,building parts"
udan been,"rainwater,rainfall","water and sanitation,nature - other,weather and climate"
enxe,"vt-ba. fill up with,stuff with","water and sanitation,vehicle - processes"
au doran,long piece of bamboo used to carry liquid,water and sanitation
baleta,drain,water and sanitation
bee maran,"sv. out of water,the water has run dry",water and sanitation
bee moos,"potable water,clean water",water and sanitation
bee sae,flood (through flood waters rising),water and sanitation
Dap,small electric water pump,water and sanitation
dois1,"smell,smell bad,smelly,stink",water and sanitation
ferujen,rust,water and sanitation
foer,dirty,water and sanitation
fura,"drill,bore",water and sanitation
horon,smell,water and sanitation
kadoras,split-bamboo pipe,water and sanitation
kanalizasaun,plumbing,water and sanitation
kuak,"hole,cave,pothole",water and sanitation
kuru,scoop; draw (water),water and sanitation
mamuk,"empty,vacant",water and sanitation
merak,"murky,muddy (water)",water and sanitation
motabomba,hand-operated water pump,water and sanitation
nakonu,full,water and sanitation
nalihun,stagnant (of water),water and sanitation
Sanyo,electric water pump,water and sanitation
sentina jerál,public toilet,water and sanitation
suli,"flow,leak",water and sanitation
supa,"suck (up),pump (up)",water and sanitation
turu,drip,water and sanitation
ai dona,"club (for fighting),cudgel",weapons
armas,"arms,weapons",weapons
bazuka,bazooka,weapons
bomba2,bomb,weapons
bomba marotok,Molotov cocktail,weapons
dima,spear,weapons
dobel stik,"two bars joined by chain,for fighting",weapons
granada,grenade,weapons
kanyaun,cannon,weapons
kartús,bullet,weapons
kilat,"gun,rifle,firearms",weapons
kilat musan,bullet,weapons
lasu,"lasso,bow,trap",weapons
metralyadór,"machine gun,sub-machine gun",weapons
minas,landmine,weapons
morteiru,mortar (gun),weapons
piska2,slingshot,weapons
pistola,pistol,weapons
punyál,"dagger,bayonet",weapons
rakitan,home-made traditional gun,weapons
rama,bow (to shoot arrows),weapons
rama ambon,"barbed metal arrow,dart (shot from fiska 'slingshot')",weapons
rama inan,bow (to shoot arrow),weapons
rama oan,arrow,weapons
samurai,long fighting sword,weapons
sasaan kroat,"weapons,arms",weapons
sikoti,whip,weapons
surik,traditional long sword,weapons
tanki de gera,tank (military),weapons
abu-abu,"fog,mist",weather and climate
anin,"wind,breeze; air",weather and climate
anin boot,strong wind,weather and climate
kalohan,,weather and climate
neve,snow,weather and climate
rai lakan,clause. lightning,weather and climate
rai malirin,"clause. cold weather,it's cold",weather and climate
rai manas,"clause. hot weather,it's hot",weather and climate
tempu malirin,cool season,weather and climate
tempu udan,"wet season,rainy season",weather and climate
udan,vi n. rain,weather and climate
udan anin,storm,weather and climate
udan been moruk,the first rains of the wet season,weather and climate
udan biska,"clause. drizzle,light rain",weather and climate
udan boot,"clause. heavy rain,downpour",weather and climate
udan xuviska,"clause. drizzle,light rain",weather and climate
