bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
kadavés  ,adv. sometimes. ,Category: time.
kalan  ,"time. evening, night. ",Category: time.
kalan boot  ,"time. very late at night, in the middle of the night, midnight. ",Category: time.
kalan-kalan  ,"adv. nightly, every night, every evening. ",Category: time.
Kinta  ,time. Thursday. ,Category: time.
Kinta feira  ,n. Thursday. ,Category: time.
kleur  ,adj. for a long time. ,Category: time.
kleur-kleur  ,"adv. seldom; not for a long time; eventually, gradually over a long period of time. ",Category: time.
kuandu  ,"cnj. whenever, while; if. ",Category: time.
Kuarta  ,n. Wednesday. ,Category: time.
Kuarta feira  ,n. Wednesday. ,Category: time.
lai  ,"tam. first (before doing something else), for the time being, for a while. ",Category: time.
lokraik  ,time. late afternoon (about 3pm until dark). ,Category: time.
loro aas  ,"sv. midday, noon; the sun is high. ",Category: time.
loro manas  ,1 • n. the middle of the day (about 9am to 3pm). ,Category: time.
loro-loron  ,"adj adv. every day, daily. ",Category: time.
loron  ,time. day. ,Category: time.
loron aban  ,n. future. ,Category: time.
loron baileet  ,"n. ordinary days (e.g. working days, non-market days). ",Category: time.
loron boot  ,n. holy day. ,Category: time.
loron-kalan  ,n. day and night. ,Category: time.
madrugada  ,"n. pre-dawn, very early morning (3-5am). ",Category: time.
Maiu  ,n. May. ,Category: time.
Marsu  ,n. March. ,Category: time.
meianoite  ,n. midnight. ,Category: time.
meiudia  ,"time. midday, noon; about 11am-2pm. ",Category: time.
miléniu  ,n. millenium. ,Category: time.
minutu  ,n. minute (of time). ,Category: time.
momentu  ,1 • n. moment. ,Category: time.
naba-naban  ,"adv. constantly, continuously. ",Category: time.
nanis  ,"adv tam. a long time ago, beforehand, in advance. ",Category: time.
Novembru  ,n. November. ,Category: time.
nunka  ,"aux. never, not at all. ",Category: time.
ohin  ,"n. earlier today, today. ",Category: time.
oin mai  ,adj. next (year/Saturday...) ,Category: time.
ora  ,n. o'clock (used only in uma ora 'one o'clock'; otherwise plural oras is used). ,Category: time.
ora-oras  ,"on and off, repeatedly. ",Category: time.
oras1  ,n. hour; o'clock (preceded by Portuguese numeral). ,Category: time.
Oras Timor Leste  ,n. East Timor time. ,Category: time.
orsida  ,"adv. later today, soon (on the same day). ",Category: time.
otas  ,n. age. ,Category: time.
OTL  ,n. East Timor time. ,Category: time.
Outubru  ,n. October. ,Category: time.
prazu  ,"n. expiry date, used-by date. ",Category: time.
rai huun mutin  ,"sv. at the crack of dawn (about 5am), at first light. ",Category: time.
rai nakaras  ,"dusk (just after sunset, when the sky is still coloured). ",Category: time.
Sabdu  ,n. Saturday. ,Category: time.
sedu  ,adj. early. ,Category: time.
Segunda  ,n. Monday. ,Category: time.
Segunda feira  ,n. Monday. ,Category: time.
segundu2  ,n. second (a sixtieth of a minute). ,Category: time.
seidauk  ,aux. not yet. ,Category: time.
semana  ,n. week. ,Category: time.
semana-semana  ,adv. weekly. ,Category: time.
sempre  ,"adv. always, constantly. ",Category: time.
Sesta  ,n. Friday. ,Category: time.
Sesta feira  ,n. Friday. ,Category: time.
Setembru  ,n. September. ,Category: time.
tardi  ,adj. late. ,Category: time.
Tersa  ,n. Tuesday. ,Category: time.
Tersa feira  ,n. Tuesday. ,Category: time.
tinan  ,n. year. ,Category: time.
tinan atus ida  ,"n. century, a hundred years. ",Category: time.
tinan rihun ida  ,"n. millenium, a thousand years. ",Category: time.
tinan sanulu  ,"n. decade, ten years. ",Category: time.
tuku2  ,n. o'clock (followed by Tetun numeral). ,Category: time.
aperta  ,1 • vt. tighten. ,Category: tools - processes.
dulas  ,"vt. spin, twist, mill, turn. ",Category: tools - processes.
kore  ,"vt. undo (e.g. a button), untie, release. ",Category: tools - processes.
sabit  ,n. curved sickle. ,"Category: tools - types, agriculture - equipment, weapons."
taha  ,n. short machete for common tasks. ,"Category: tools - types, agriculture - equipment."
peneira  ,1 • n. sieve. ,"Category: tools - types, cooking equipment."
alat  ,"n. tool, instrument, equipment, implement. ","Category: tools - types, health - equipment."
lámina  ,n. razor blade. ,"Category: tools - types, health - equipment."
kateri  ,"n. scissors, shears. ","Category: tools - types, office equipment, household, health - equipment."
maki  ,n. machine. ,"Category: tools - types, vehicles - parts."
kanuru suru rai  ,"n. shovel, spade. ","Category: tools - types, water and sanitation."
besi kanu  ,n. metal pipe. ,"Category: tools - types, weapons."
alkati  ,n. pliers. ,Category: tools - types.
anila  ,n. washer (on bolt). ,Category: tools - types.
bahat  ,1 • n. chisel. ,Category: tools - types.
besi kusan  ,n. nail. ,Category: tools - types.
bibi ain  ,n. claw of a hammer. ,Category: tools - types.
bomba1  ,"1 • n. pump (to pump air), bicycle pump. ",Category: tools - types.
furadór  ,n. drill (tool). ,Category: tools - types.
kadoo  ,1 • n. saw (tool for sawing). ,Category: tools - types.
kadoo ai  ,n. wood saw. ,Category: tools - types.
kadoo besi  ,n. hacksaw. ,Category: tools - types.
limar  ,"1 • n. file, rasp. ",Category: tools - types.
lixa  ,1 • n. sandpaper. ,Category: tools - types.
mareta  ,n. sledgehammer. ,Category: tools - types.
martelu  ,"n. hammer, mallet. ",Category: tools - types.
maus  ,n. (computer) mouse. ,Category: tools - types.
metru2  ,n. tape measure. ,Category: tools - types.
motosera  ,n. chainsaw. ,Category: tools - types.
parafuzu  ,"n. screw, bolt. ",Category: tools - types.
pinsél  ,n. paintbrush. ,Category: tools - types.
porka  ,n. nut (on bolt). ,Category: tools - types.
pregu  ,n. nail (metal). ,Category: tools - types.
roska  ,"n. thread (on a screw, on screw joints). ",Category: tools - types.
sensor  ,n. chainsaw. ,Category: tools - types.
supila  ,1 • n. plane (for planing wood). ,Category: tools - types.
xafenda  ,n. screwdriver. ,Category: tools - types.
xafenda belar  ,n. straight screwdriver. ,Category: tools - types.
xafenda krús  ,n. Phillips-head screwdriver. ,Category: tools - types.
xavi  ,1 • n. key; spanner. ,Category: tools - types.
xavi Inglés  ,"n. wrench, monkey wrench, adjustable spanner. ",Category: tools - types.
sau  ,vt. ceremony before the start of the corn harvest. ,"Category: tradition, agriculture - process."
belak  ,"n. disk made of gold or silver, used as a chest ornament. ","Category: tradition, clothes."
kaebauk  ,"n. men's headgear in the shape of buffalo horns, worn in traditional ceremonies. ","Category: tradition, clothes."
keke  ,n. bracelet worn by men for traditional occasions. ,"Category: tradition, clothes."
adat  ,"n. tradition, custom, customary law. ",Category: tradition.
ai abut aat  ,n. roots used for black magic. ,Category: tradition.
ai kulit aat  ,bark used for black magic. ,Category: tradition.
ai tahan aat  ,1 • n. leaves used for black magic. ,Category: tradition.
barlaki  ,n. brideprice. ,Category: tradition.
bee manas ai tukan  ,n. the presents which a man's family gives to the bride's parents at a couple's engagement. ,Category: tradition.
biru  ,"n. amulet, protective charm. ",Category: tradition.
bua-malus  ,"n. ingredients for chewing betel nut (betel nut, betel pepper and lime). ",Category: tradition.
don1  ,"n title. Sir (title of respect before a Christian name, for senior liurai (noblemen) and bishops). ",Category: tradition.
kakaluk2  ,"n. amulet, charm (tiny bag containing items to protect oneself from danger). ",Category: tradition.
knua  ,n.  ,Category: tradition.
koremetan  ,"n. ceremony to mark the end of mourning, on the first anniversary of a person's death. ",Category: tradition.
kultura  ,n. culture. ,Category: tradition.
kuta  ,vt. mark the forehead or another body part with betel juice. This is part of a number of ceremonies; e.g. before entering an uma lisan. ,Category: tradition.
lisan  ,"n. tradition, custom, customary law. ",Category: tradition.
malus been  ,n. betel juice. ,Category: tradition.
mama  ,vt. chew without swallowing. ,Category: tradition.
maninga  ,"n. magic charm to attract the opposite sex, love potion. ",Category: tradition.
pontiana  ,n. beautiful young female spirit figure. ,Category: tradition.
samea ulun hitu  ,n. seven-headed snake (a legendary evil snake with one body but seven heads). ,Category: tradition.
sina maromak  ,n. Chinese fortune-teller. ,Category: tradition.
uma fukun  ,n. 1 • named clan house. ,Category: tradition.
uma lisan  ,n. named clan house and the associated clan. ,Category: tradition.
uma lulik  ,"n. named clan house, traditional sacred house. ",Category: tradition.
mekánika  ,n. mechanics. ,"Category: vehicle - other, education - subject."
aeroportu  ,n. airport. ,Category: vehicle - other.
alkatraun  ,"n. bitumen, tar, asphalt. ",Category: vehicle - other.
ár  ,n. air (in tyre/ball). ,Category: vehicle - other.
automátiku  ,adj. automatic. ,Category: vehicle - other.
bengkel  ,n. mechanic's workshop. ,Category: vehicle - other.
bensin  ,"n. petrol (BRIT), gasoline, gas (US). ",Category: vehicle - other.
bronjong  ,"n. gabion basket (wire basket filled with rocks, used in road building). ",Category: vehicle - other.
gás  ,1 • n. accelerator. ,Category: vehicle - other.
gazoel  ,n. diesel (fuel). ,Category: vehicle - other.
gazolina  ,"n. petrol (BRIT), gasoline, gas (US). ",Category: vehicle - other.
kampu aviasaun  ,"n. airport, heliport. ",Category: vehicle - other.
kapaseti  ,n. helmet. ,Category: vehicle - other.
kareta para fatin  ,n. parking spot. ,Category: vehicle - other.
karta kondusaun  ,n. driver's licence. ,Category: vehicle - other.
kombustivel  ,n. fuel. ,Category: vehicle - other.
macet  ,adj. traffic jam. ,Category: vehicle - other.
manuál2  ,"adj. manual, by hand. ",Category: vehicle - other.
marka  ,"n. brand, make. ",Category: vehicle - other.
mout  ,"vi. sink, bogged, drown. ",Category: vehicle - other.
ofisina  ,n. (mechanic's) workshop; (mechanic's) garage. ,Category: vehicle - other.
oli  ,"n. lubricating oil, engine oil, motor oil. ",Category: vehicle - other.
pontikais  ,"n. port; wharf, dock. ",Category: vehicle - other.
pontu mortu  ,n. neutral (gear). ,Category: vehicle - other.
SIM  ,n. driver's licence. ,Category: vehicle - other.
solar  ,n. diesel (fuel). ,Category: vehicle - other.
terminál  ,"n. bus station, terminal. ",Category: vehicle - other.
tiket  ,n. ticket (for travel). ,Category: vehicle - other.
transporte  ,n. transport. ,Category: vehicle - other.
tránzitu  ,n. (vehicle) traffic. ,Category: vehicle - other.
motorista  ,n.  ,Category: vehicle - people.
pasajeiru  ,n. passenger. ,Category: vehicle - people.
xofér  ,n. driver. ,Category: vehicle - people.
manutensaun  ,n. maintenance. ,"Category: vehicle - processes, building - processes."
aselera  ,vt. accelerate. ,Category: vehicle - processes.
gripa  ,adj. 1 • write-off (of vehicle). ,Category: vehicle - processes.
rodajen  ,1 • n. running in (of a new vehicle). ,Category: vehicle - processes.
tatidik  ,vi. bump around (of car on a rough road). ,Category: vehicle - processes.
trava  ,vt. brake. ,Category: vehicle - processes.
xoke  ,"1 • vt. collide into, crash into, have a crash, bump into, have a collision. ",Category: vehicle - processes.
pedál  ,n. pedal. ,"Category: vehicles - parts, music."
kalsu  ,1 • n. chock; wedge; bicycle stand. ,"Category: vehicles - parts, tools - types."
kompresór  ,n. compressor. ,"Category: vehicles - parts, tools - types."
makaku2  ,n. (vehicle) jack. ,"Category: vehicles - parts, tools - types."
tanki  ,"n. tank, (petrol) tank, tub (for water). ","Category: vehicles - parts, water and sanitation."
antena  ,"n. antenna, aerial. ",Category: vehicles - parts.
aseleradór  ,n. accelerator. ,Category: vehicles - parts.
